country,year,GDP
Azerbaijan,2000,5272617196
Azerbaijan,2001,5707618246
Azerbaijan,2002,6236024951
Azerbaijan,2003,7275766111
Azerbaijan,2004,8680511918
Azerbaijan,2005,13245421880
Azerbaijan,2006,20982270733
Azerbaijan,2007,33050343782
Azerbaijan,2008,48852482960
Azerbaijan,2009,44291490420
Azerbaijan,2010,52902703376
Burundi,1999,808077223
Burundi,2000,870486065
Burundi,2001,876794723
Burundi,2002,825394484
Burundi,2003,784654423
Burundi,2004,915257323
Burundi,2005,1117254387
Burundi,2006,1273180655
Burundi,2007,1356078300
Burundi,2008,1611634286
Burundi,2009,1739781535
Burundi,2010,2026864414
Belgium,1999,259666631152
Belgium,2000,237336281555
Belgium,2001,237397315436
Belgium,2002,258390080933
Belgium,2003,318573363431
Belgium,2004,370461343614
Belgium,2005,386944983335
Belgium,2006,410678121494
Belgium,2007,472284546030
Belgium,2008,520109349524
Belgium,2009,485803883922
Belgium,2010,484404271608
Benin,1999,2488892429
Benin,2000,2359122302
Benin,2001,2499269391
Benin,2002,2807657386
Benin,2003,3557229701
Benin,2004,4050869967
Benin,2005,4358015992
Benin,2006,4705087452
Benin,2007,5511880905
Benin,2008,6633463906
Benin,2009,6584477484
Benin,2010,6561782312
Burkina Faso,1999,3014665728
Burkina Faso,2000,2632700362
Burkina Faso,2001,2812845513
Burkina Faso,2002,3205592289
Burkina Faso,2003,4205691222
Burkina Faso,2004,4838551099
Burkina Faso,2005,5462709498
Burkina Faso,2006,5844669845
Burkina Faso,2007,6755825096
Burkina Faso,2008,8350711425
Burkina Faso,2009,8348157993
Burkina Faso,2010,8992678844
Bangladesh,1999,45694072379
Bangladesh,2000,47124925462
Bangladesh,2001,46987842846
Bangladesh,2002,47571130071
Bangladesh,2003,51913661485
Bangladesh,2004,56560744012
Bangladesh,2005,60277560975
Bangladesh,2006,71819088743
Bangladesh,2007,79611888213
Bangladesh,2008,91631278239
Bangladesh,2009,102477791472
Bangladesh,2010,115279077465
Bulgaria,1999,13659823835
Bulgaria,2000,13353530517
Bulgaria,2001,14303810794
Bulgaria,2002,16343311506
Bulgaria,2003,21101364344
Bulgaria,2004,25919754936
Bulgaria,2005,29300588272
Bulgaria,2006,33649638299
Bulgaria,2007,43634648380
Bulgaria,2008,53316401914
Bulgaria,2009,50161405416
Bulgaria,2010,48669060511
Bahrain,1999,6621186419
Bahrain,2000,9063147900
Bahrain,2001,8976446419
Bahrain,2002,9632411109
Bahrain,2003,11075116593
Bahrain,2004,13150516509
Bahrain,2005,15969151305
Bahrain,2006,18505545360
Bahrain,2007,21730577940
Bahrain,2008,25711151182
Bahrain,2009,22938462111
Bahrain,2010,25713544824
"Bahamas, The",1999,6019972000
"Bahamas, The",2000,6327552000
"Bahamas, The",2001,6516651000
"Bahamas, The",2002,6957996000
"Bahamas, The",2003,6949317000
"Bahamas, The",2004,7094413000
"Bahamas, The",2005,7706222000
"Bahamas, The",2006,7965588000
"Bahamas, The",2007,8318996000
"Bahamas, The",2008,8246650000
"Bahamas, The",2009,7820420000
"Bahamas, The",2010,7910000000
Bosnia and Herzegovina,1999,4685729738
Bosnia and Herzegovina,2000,5505984455
Bosnia and Herzegovina,2001,5748990554
Bosnia and Herzegovina,2002,6651226179
Bosnia and Herzegovina,2003,8370020196
Bosnia and Herzegovina,2004,10022840634
Bosnia and Herzegovina,2005,10903779487
Bosnia and Herzegovina,2006,12550175101
Bosnia and Herzegovina,2007,15441062281
Bosnia and Herzegovina,2008,18711890353
Bosnia and Herzegovina,2009,17264893103
Bosnia and Herzegovina,2010,16847493058
Belarus,1999,12138485328
Belarus,2000,12736856485
Belarus,2001,12354820143
Belarus,2002,14594925392
Belarus,2003,17825436034
Belarus,2004,23141587717
Belarus,2005,30210091836
Belarus,2006,36961918858
Belarus,2007,45275711995
Belarus,2008,60763483146
Belarus,2009,49208656976
Belarus,2010,55220932613
Belize,1999,732607993
Belize,2000,831750000
Belize,2001,871840755
Belize,2002,932676403
Belize,2003,990350000
Belize,2004,1057850000
Belize,2005,1114202700
Belize,2006,1217442150
Belize,2007,1290542550
Belize,2008,1368625150
Belize,2009,1336957250
Belize,2010,1397113450
Bermuda,1999,3324433000
Bermuda,2000,3480219000
Bermuda,2001,3680483000
Bermuda,2002,3937228000
Bermuda,2003,4186525000
Bermuda,2004,4484703000
Bermuda,2005,4868136000
Bermuda,2006,5414299000
Bermuda,2007,5895048000
Bermuda,2008,6109928000
Bermuda,2009,5806378000
Bermuda,2010,5744414000
Bolivia,1999,8285061618
Bolivia,2000,8397858184
Bolivia,2001,8141513292
Bolivia,2002,7905485216
Bolivia,2003,8082396525
Bolivia,2004,8773451738
Bolivia,2005,9549196255
Bolivia,2006,11451845341
Bolivia,2007,13120183156
Bolivia,2008,16674324634
Bolivia,2009,17339992165
Bolivia,2010,19649631308
Brazil,1999,586862640399
Brazil,2000,644701831101
Brazil,2001,553582178386
Brazil,2002,504221228974
Brazil,2003,552469288267
Brazil,2004,663760341880
Brazil,2005,882185702547
Brazil,2006,1088916819852
Brazil,2007,1366823994658
Brazil,2008,1653508561457
Brazil,2009,1620188056416
Brazil,2010,2143067871759
Barbados,1999,3012031888
Barbados,2000,3119500000
Barbados,2001,3112350000
Barbados,2002,3168600000
Barbados,2003,3271200000
Barbados,2004,3509700000
Barbados,2005,3891500000
Barbados,2006,4314050000
Barbados,2007,4513250000
Barbados,2008,4541550000
Barbados,2009,4592650000
Barbados,2010,4433700000
Brunei Darussalam,1999,4600000000
Brunei Darussalam,2000,6001153317
Brunei Darussalam,2001,5601090584
Brunei Darussalam,2002,5843329101
Brunei Darussalam,2003,6557333067
Brunei Darussalam,2004,7872333197
Brunei Darussalam,2005,9531402829
Brunei Darussalam,2006,11470703002
Brunei Darussalam,2007,12247694247
Brunei Darussalam,2008,14393099068
Brunei Darussalam,2009,10732366286
Brunei Darussalam,2010,12369708858
Bhutan,1999,419035810
Bhutan,2000,439158233
Bhutan,2001,476360697
Bhutan,2002,537050133
Bhutan,2003,622026107
Bhutan,2004,702682018
Bhutan,2005,818869145
Bhutan,2006,897672085
Bhutan,2007,1196091805
Bhutan,2008,1258193518
Bhutan,2009,1264758197
Bhutan,2010,1585396256
Botswana,1999,5484263050
Botswana,2000,5788311645
Botswana,2001,5489646902
Botswana,2002,5438856515
Botswana,2003,7511538764
Botswana,2004,8957491784
Botswana,2005,9931223489
Botswana,2006,10126990496
Botswana,2007,10939028150
Botswana,2008,11113042239
Botswana,2009,10106837292
Botswana,2010,13746712711
Central African Republic,1999,999477458
Central African Republic,2000,914500331
Central African Republic,2001,931833293
Central African Republic,2002,991387865
Central African Republic,2003,1139754771
Central African Republic,2004,1270080228
Central African Republic,2005,1350300947
Central African Republic,2006,1473721520
Central African Republic,2007,1698125679
Central African Republic,2008,1985370254
Central African Republic,2009,1981728179
Central African Republic,2010,1986014759
Canada,1999,674325233896
Canada,2000,739455928893
Canada,2001,732716942148
Canada,2002,752531702032
Canada,2003,887751766469
Canada,2004,1018385574395
Canada,2005,1164179473989
Canada,2006,1310795189078
Canada,2007,1457872837625
Canada,2008,1542560728744
Canada,2009,1370839154047
Canada,2010,1614072093764
Central Europe and the Baltics,1999,431622998586
Central Europe and the Baltics,2000,427129902047
Central Europe and the Baltics,2001,468271204324
Central Europe and the Baltics,2002,526447616721
Central Europe and the Baltics,2003,632905170790
Central Europe and the Baltics,2004,759226352467
Central Europe and the Baltics,2005,881333483848
Central Europe and the Baltics,2006,996747379796
Central Europe and the Baltics,2007,1255130342817
Central Europe and the Baltics,2008,1510801664710
Central Europe and the Baltics,2009,1270154042033
Central Europe and the Baltics,2010,1303578139231
Switzerland,1999,289884127679
Switzerland,2000,271659728209
Switzerland,2001,278628772872
Switzerland,2002,301127808995
Switzerland,2003,351982634291
Switzerland,2004,393541693928
Switzerland,2005,407543292839
Switzerland,2006,429180758069
Switzerland,2007,477421391034
Switzerland,2008,551552055046
Switzerland,2009,539507555858
Switzerland,2010,581208562423
Channel Islands,1999,6262740656
Channel Islands,2000,6439703434
Channel Islands,2001,6232906290
Channel Islands,2002,6663669064
Channel Islands,2003,7332244897
Channel Islands,2004,8553643354
Channel Islands,2005,8827272727
Channel Islands,2006,9676172953
Channel Islands,2007,11514605842
Chile,1999,72995286764
Chile,2000,79328640263
Chile,2001,72336972322
Chile,2002,70984568428
Chile,2003,77840186384
Chile,2004,100630707851
Chile,2005,124404150138
Chile,2006,154671012210
Chile,2007,173006275030
Chile,2008,179857806671
Chile,2009,172323378550
Chile,2010,217501911333
China,1999,1083278591739
China,2000,1198474937919
China,2001,1324806909018
China,2002,1453827558024
China,2003,1640958734587
China,2004,1931644329934
China,2005,2256902590825
China,2006,2712950885444
China,2007,3494055942162
China,2008,4521827271025
China,2009,4990233518751
China,2010,5930502270312
Cote d'Ivoire,1999,12556457526
Cote d'Ivoire,2000,10417060604
Cote d'Ivoire,2001,10545285036
Cote d'Ivoire,2002,11486664265
Cote d'Ivoire,2003,13737482343
Cote d'Ivoire,2004,15481092596
Cote d'Ivoire,2005,17084927539
Cote d'Ivoire,2006,17800887469
Cote d'Ivoire,2007,20343636058
Cote d'Ivoire,2008,24224905503
Cote d'Ivoire,2009,24277494337
Cote d'Ivoire,2010,24884503950
Cameroon,1999,10486451906
Cameroon,2000,9287367568
Cameroon,2001,9633109256
Cameroon,2002,10879778327
Cameroon,2003,13621738512
Cameroon,2004,15775356736
Cameroon,2005,16587857509
Cameroon,2006,17953066391
Cameroon,2007,20431781120
Cameroon,2008,23322256428
Cameroon,2009,23381142604
Cameroon,2010,23622482954
"Congo, Rep.",1999,2353909441
"Congo, Rep.",2000,3219910666
"Congo, Rep.",2001,2794259756
"Congo, Rep.",2002,3019993723
"Congo, Rep.",2003,3495868724
"Congo, Rep.",2004,4648628839
"Congo, Rep.",2005,6087002681
"Congo, Rep.",2006,7731261168
"Congo, Rep.",2007,8394688589
"Congo, Rep.",2008,11859015180
"Congo, Rep.",2009,9593536719
"Congo, Rep.",2010,12007880067
Colombia,1999,86186156584
Colombia,2000,99886577575
Colombia,2001,98203544965
Colombia,2002,97933392356
Colombia,2003,94684582573
Colombia,2004,117074865515
Colombia,2005,146520136085
Colombia,2006,162773603929
Colombia,2007,207520150283
Colombia,2008,244056732297
Colombia,2009,233821670544
Colombia,2010,287018184637
Comoros,1999,222580461
Comoros,2000,201899883
Comoros,2001,220093828
Comoros,2002,246737670
Comoros,2003,317562300
Comoros,2004,368143110
Comoros,2005,380372884
Comoros,2006,406111892
Comoros,2007,462453621
Comoros,2008,517477659
Comoros,2009,514788085
Comoros,2010,516962949
Cabo Verde,1999,592416703
Cabo Verde,2000,539227052
Cabo Verde,2001,563024256
Cabo Verde,2002,620974807
Cabo Verde,2003,813963933
Cabo Verde,2004,924318505
Cabo Verde,2005,971976952
Cabo Verde,2006,1107890815
Cabo Verde,2007,1513934037
Cabo Verde,2008,1789332788
Cabo Verde,2009,1711816593
Cabo Verde,2010,1664310632
Costa Rica,1999,15796567138
Costa Rica,2000,15946443103
Costa Rica,2001,16403602943
Costa Rica,2002,16844378578
Costa Rica,2003,17517536016
Costa Rica,2004,18596365926
Costa Rica,2005,19964893807
Costa Rica,2006,22526464409
Costa Rica,2007,26321999607
Costa Rica,2008,29831167681
Costa Rica,2009,29382692643
Costa Rica,2010,36298327669
Caribbean small states,1999,29613300907
Caribbean small states,2000,32283550905
Caribbean small states,2001,33156568952
Caribbean small states,2002,34952635480
Caribbean small states,2003,37422356830
Caribbean small states,2004,40770535976
Caribbean small states,2005,46587144814
Caribbean small states,2006,52490948176
Caribbean small states,2007,58438689570
Caribbean small states,2008,66698700872
Caribbean small states,2009,56145294968
Caribbean small states,2010,59375034444
Cuba,1999,28365300000
Cuba,2000,30565200000
Cuba,2001,31683300000
Cuba,2002,33590400000
Cuba,2003,35901500000
Cuba,2004,38202800000
Cuba,2005,42644200000
Cuba,2006,52742100000
Cuba,2007,58603500000
Cuba,2008,60806200000
Cuba,2009,62078610000
Cuba,2010,64328220000
Cyprus,1999,9776223013
Cyprus,2000,9314937556
Cyprus,2001,9679304970
Cyprus,2002,10557366161
Cyprus,2003,13319544758
Cyprus,2004,15816972050
Cyprus,2005,16997801392
Cyprus,2006,18435765910
Cyprus,2007,21841815680
Cyprus,2008,25321517504
Cyprus,2009,23542650736
Cyprus,2010,23132450331
Czech Republic,1999,64719367646
Czech Republic,2000,61474265134
Czech Republic,2001,67375682473
Czech Republic,2002,81696693249
Czech Republic,2003,99300329682
Czech Republic,2004,118976254632
Czech Republic,2005,135990121361
Czech Republic,2006,155213120558
Czech Republic,2007,188818465531
Czech Republic,2008,235205271893
Czech Republic,2009,205729790694
Czech Republic,2010,207016402026
Germany,1999,2196686554442
Germany,2000,1947208402432
Germany,2001,1947928411633
Germany,2002,2076303406738
Germany,2003,2502313769751
Germany,2004,2815592929913
Germany,2005,2857558573347
Germany,2006,2998466393955
Germany,2007,3435506663701
Germany,2008,3747055453913
Germany,2009,3412770245920
Germany,2010,3412008772736
Djibouti,1999,536080169
Djibouti,2000,551230861
Djibouti,2001,572417440
Djibouti,2002,591122039
Djibouti,2003,622044665
Djibouti,2004,666072101
Djibouti,2005,708633194
Djibouti,2006,768873684
Djibouti,2007,847918929
Djibouti,2008,999105339
Djibouti,2009,1198997304
Djibouti,2010,1128611700
Dominica,1999,267740736
Dominica,2000,335845808
Dominica,2001,343119364
Dominica,2002,337695734
Dominica,2003,350091216
Dominica,2004,374771474
Dominica,2005,370370370
Dominica,2006,397777777
Dominica,2007,428888888
Dominica,2008,468888888
Dominica,2009,498888888
Dominica,2010,492962962
Denmark,1999,177965224620
Denmark,2000,164158800460
Denmark,2001,164791416350
Denmark,2002,178635160297
Denmark,2003,218095997085
Denmark,2004,251244521002
Denmark,2005,264559081260
Denmark,2006,282962119265
Denmark,2007,319500290932
Denmark,2008,352589421253
Denmark,2009,319764341586
Denmark,2010,319812413596
Dominican Republic,1999,21709041189
Dominican Republic,2000,23996656675
Dominican Republic,2001,24894907435
Dominican Republic,2002,26570402718
Dominican Republic,2003,21268012747
Dominican Republic,2004,22163928096
Dominican Republic,2005,33969724872
Dominican Republic,2006,35965041793
Dominican Republic,2007,44078280922
Dominican Republic,2008,48143840499
Dominican Republic,2009,47889008135
Dominican Republic,2010,53042943731
Algeria,1999,48640613515
Algeria,2000,54790058957
Algeria,2001,54744716706
Algeria,2002,56760288961
Algeria,2003,67863832648
Algeria,2004,85324997369
Algeria,2005,103198650297
Algeria,2006,117026655313
Algeria,2007,134977867931
Algeria,2008,171000162581
Algeria,2009,137211795394
Algeria,2010,161207304960
East Asia & Pacific (developing only),1999,1563730084678
East Asia & Pacific (developing only),2000,1723380122030
East Asia & Pacific (developing only),2001,1834852649064
East Asia & Pacific (developing only),2002,2028425265890
East Asia & Pacific (developing only),2003,2291383749764
East Asia & Pacific (developing only),2004,2657177720401
East Asia & Pacific (developing only),2005,3072016575622
East Asia & Pacific (developing only),2006,3693386167647
East Asia & Pacific (developing only),2007,4663837763687
East Asia & Pacific (developing only),2008,5895836278925
East Asia & Pacific (developing only),2009,6360427197964
East Asia & Pacific (developing only),2010,7629075118565
East Asia & Pacific (all income levels),1999,7509697979291
East Asia & Pacific (all income levels),2000,8107479659612
East Asia & Pacific (all income levels),2001,7539249366343
East Asia & Pacific (all income levels),2002,7664826634091
East Asia & Pacific (all income levels),2003,8427289876575
East Asia & Pacific (all income levels),2004,9451130209973
East Asia & Pacific (all income levels),2005,10059209665024
East Asia & Pacific (all income levels),2006,10675127487459
East Asia & Pacific (all income levels),2007,11955561745544
East Asia & Pacific (all income levels),2008,13785451155564
East Asia & Pacific (all income levels),2009,14162196909304
East Asia & Pacific (all income levels),2010,16439572009348
Europe & Central Asia (developing only),1999,473826190944
Europe & Central Asia (developing only),2000,479205528495
Europe & Central Asia (developing only),2001,436252848983
Europe & Central Asia (developing only),2002,509499460939
Europe & Central Asia (developing only),2003,647766987254
Europe & Central Asia (developing only),2004,824926783295
Europe & Central Asia (developing only),2005,1009066504151
Europe & Central Asia (developing only),2006,1164178343612
Europe & Central Asia (developing only),2007,1475119837966
Europe & Central Asia (developing only),2008,1756557055197
Europe & Central Asia (developing only),2009,1463062396744
Europe & Central Asia (developing only),2010,1652860016198
Europe & Central Asia (all income levels),1999,10517921871831
Europe & Central Asia (all income levels),2000,9911801372127
Europe & Central Asia (all income levels),2001,10016822082012
Europe & Central Asia (all income levels),2002,10961731236956
Europe & Central Asia (all income levels),2003,13370340038917
Europe & Central Asia (all income levels),2004,15588234403719
Europe & Central Asia (all income levels),2005,16594802827151
Europe & Central Asia (all income levels),2006,17966894068897
Europe & Central Asia (all income levels),2007,21003677460886
Europe & Central Asia (all income levels),2008,23065273652028
Europe & Central Asia (all income levels),2009,20300592389315
Europe & Central Asia (all income levels),2010,20811125669564
Ecuador,1999,19644866963
Ecuador,2000,18327386415
Ecuador,2001,24468324000
Ecuador,2002,28548945000
Ecuador,2003,32432859000
Ecuador,2004,36591661000
Ecuador,2005,41507085000
Ecuador,2006,46802044000
Ecuador,2007,51007777000
Ecuador,2008,61762635000
Ecuador,2009,62519686000
Ecuador,2010,69555367000
"Egypt, Arab Rep.",1999,90710703939
"Egypt, Arab Rep.",2000,99838540997
"Egypt, Arab Rep.",2001,97632008050
"Egypt, Arab Rep.",2002,87850680579
"Egypt, Arab Rep.",2003,82923680612
"Egypt, Arab Rep.",2004,78845185715
"Egypt, Arab Rep.",2005,89685724897
"Egypt, Arab Rep.",2006,107484034644
"Egypt, Arab Rep.",2007,130477817194
"Egypt, Arab Rep.",2008,162818181818
"Egypt, Arab Rep.",2009,188984088127
"Egypt, Arab Rep.",2010,218887812549
Euro area,1999,7112799426471
Euro area,2000,6483194259887
Euro area,2001,6587483934121
Euro area,2002,7166015385119
Euro area,2003,8842554079982
Euro area,2004,10139627706968
Euro area,2005,10520747435187
Euro area,2006,11168289068274
Euro area,2007,12860102019097
Euro area,2008,14100394081854
Euro area,2009,12894758863727
Euro area,2010,12632263801735
Eritrea,1999,688921325
Eritrea,2000,706370812
Eritrea,2001,752368494
Eritrea,2002,729321364
Eritrea,2003,870247701
Eritrea,2004,1109054002
Eritrea,2005,1098425899
Eritrea,2006,1211161879
Eritrea,2007,1317974493
Eritrea,2008,1380188800
Eritrea,2009,1856695550
Eritrea,2010,2117039510
Spain,1999,633194118900
Spain,2000,595402616546
Spain,2001,625975838926
Spain,2002,705145868624
Spain,2003,906853273137
Spain,2004,1069601981710
Spain,2005,1157247674476
Spain,2006,1264486722860
Spain,2007,1479265709739
Spain,2008,1635049580162
Spain,2009,1498984446173
Spain,2010,1431587612302
Estonia,1999,5715278960
Estonia,2000,5685561595
Estonia,2001,6233506400
Estonia,2002,7308608834
Estonia,2003,9822143179
Estonia,2004,12057639751
Estonia,2005,14003096552
Estonia,2006,16958044845
Estonia,2007,22228670168
Estonia,2008,24185794095
Estonia,2009,19640620154
Estonia,2010,19479012423
Ethiopia,1999,7700833482
Ethiopia,2000,8242392103
Ethiopia,2001,8231326016
Ethiopia,2002,7850809498
Ethiopia,2003,8623691300
Ethiopia,2004,10131187261
Ethiopia,2005,12401139453
Ethiopia,2006,15280861834
Ethiopia,2007,19707616772
Ethiopia,2008,27066912635
Ethiopia,2009,32437389116
Ethiopia,2010,29933790334
European Union,1999,9474479254463
European Union,2000,8808544629037
European Union,2001,8911276745504
European Union,2002,9719946209088
European Union,2003,11852251677218
European Union,2004,13689653026260
European Union,2005,14312647594144
European Union,2006,15273668674696
European Union,2007,17661350374599
European Union,2008,19008890167151
European Union,2009,17001813534975
European Union,2010,16934782699535
Fragile and conflict affected situations,1999,155682535131
Fragile and conflict affected situations,2000,186048093213
Fragile and conflict affected situations,2001,170602064381
Fragile and conflict affected situations,2002,169730062072
Fragile and conflict affected situations,2003,191127966217
Fragile and conflict affected situations,2004,226905365048
Fragile and conflict affected situations,2005,276220953490
Fragile and conflict affected situations,2006,332785151018
Fragile and conflict affected situations,2007,419260246414
Fragile and conflict affected situations,2008,535480388757
Fragile and conflict affected situations,2009,472585160678
Fragile and conflict affected situations,2010,556081302187
Finland,1999,135225868314
Finland,2000,125539893126
Finland,2001,129250111856
Finland,2002,139552983248
Finland,2003,171071106094
Finland,2004,196776616813
Finland,2005,204430930706
Finland,2006,216541409976
Finland,2007,255371507758
Finland,2008,283753003898
Finland,2009,251483878456
Finland,2010,247799815768
Fiji,1999,1942170999
Fiji,2000,1684109743
Fiji,2001,1660102345
Fiji,2002,1842691481
Fiji,2003,2315935752
Fiji,2004,2727507212
Fiji,2005,3006725014
Fiji,2006,3103099942
Fiji,2007,3405050611
Fiji,2008,3523185919
Fiji,2009,2870624635
Fiji,2010,3140508835
France,1999,1500275942893
France,2000,1368438363736
France,2001,1382218344519
France,2002,1500337850555
France,2003,1848124153498
France,2004,2124204553215
France,2005,2203623837238
France,2006,2324892820068
France,2007,2662975825905
France,2008,2923573946917
France,2009,2693665189295
France,2010,2646837111794
Faeroe Islands,1999,1125684470
Faeroe Islands,2000,1062339943
Faeroe Islands,2001,1154899793
Faeroe Islands,2002,1268445919
Faeroe Islands,2003,1486861878
Faeroe Islands,2004,1683997930
Faeroe Islands,2005,1730894295
Faeroe Islands,2006,1970135198
Faeroe Islands,2007,2278229880
Faeroe Islands,2008,2412859692
Faeroe Islands,2009,2198138372
"Micronesia, Fed. Sts.",1999,220660500
"Micronesia, Fed. Sts.",2000,233226300
"Micronesia, Fed. Sts.",2001,240051900
"Micronesia, Fed. Sts.",2002,241543400
"Micronesia, Fed. Sts.",2003,244991000
"Micronesia, Fed. Sts.",2004,239563300
"Micronesia, Fed. Sts.",2005,249845600
"Micronesia, Fed. Sts.",2006,252991200
"Micronesia, Fed. Sts.",2007,255890800
"Micronesia, Fed. Sts.",2008,261339600
"Micronesia, Fed. Sts.",2009,277510900
"Micronesia, Fed. Sts.",2010,294117200
Gabon,1999,4662991794
Gabon,2000,5067865502
Gabon,2001,4712849279
Gabon,2002,4931503836
Gabon,2003,6054883172
Gabon,2004,7178135606
Gabon,2005,8665736617
Gabon,2006,9545982814
Gabon,2007,11570860872
Gabon,2008,15685389826
Gabon,2009,12031268402
Gabon,2010,14569527124
United Kingdom,1999,1558317424364
United Kingdom,2000,1548663943107
United Kingdom,2001,1529094573197
United Kingdom,2002,1674416966426
United Kingdom,2003,1943714285714
United Kingdom,2004,2298126991101
United Kingdom,2005,2412116400352
United Kingdom,2006,2582815892447
United Kingdom,2007,2963265224452
United Kingdom,2008,2791855193222
United Kingdom,2009,2308925879444
United Kingdom,2010,2407933767804
Georgia,1999,2800024318
Georgia,2000,3057453475
Georgia,2001,3219487818
Georgia,2002,3395778679
Georgia,2003,3991374548
Georgia,2004,5125273871
Georgia,2005,6411147328
Georgia,2006,7761900166
Georgia,2007,10172260744
Georgia,2008,12799337247
Georgia,2009,10766836276
Georgia,2010,11638536834
Ghana,1999,7718110780
Ghana,2000,4982849054
Ghana,2001,5314871683
Ghana,2002,6166197191
Ghana,2003,7632720680
Ghana,2004,8881419348
Ghana,2005,10731883141
Ghana,2006,20410331625
Ghana,2007,24757553101
Ghana,2008,28528014620
Ghana,2009,25978508375
Ghana,2010,32174839712
Guinea,1999,3461282189
Guinea,2000,2995360969
Guinea,2001,2833442750
Guinea,2002,2949637039
Guinea,2003,3446442218
Guinea,2004,3666349049
Guinea,2005,2937072009
Guinea,2006,2821346683
Guinea,2007,4134173271
Guinea,2008,4515824643
Guinea,2009,4609923720
Guinea,2010,4735956475
"Gambia, The",1999,814724055
"Gambia, The",2000,782913865
"Gambia, The",2001,687410630
"Gambia, The",2002,578235309
"Gambia, The",2003,487038679
"Gambia, The",2004,578785599
"Gambia, The",2005,624173995
"Gambia, The",2006,655068112
"Gambia, The",2007,798869803
"Gambia, The",2008,965771304
"Gambia, The",2009,900641059
"Gambia, The",2010,951827284
Guinea-Bissau,1999,224446652
